OrderID,ProductName,Quantity,InvoiceDate,UnitPrice ,TotalCost ,Country,DiscountApplied,OrderPriority,Region,Segment,ExpeditedShipping,PaymentMethod,CustomerOrderSatisfaction
536370,INFLATABLE POLITICAL GLOBE ,48,12/1/2010 8:45,$0.85 ,$40.80 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,SET2 RED RETROSPOT TEA TOWELS ,18,12/1/2010 8:45,$2.95 ,$53.10 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,PANDA AND BUNNIES STICKER SHEET,12,12/1/2010 8:45,$0.85 ,$10.20 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,RED TOADSTOOL LED NIGHT LIGHT,24,12/1/2010 8:45,$1.65 ,$39.60 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/2010 8:45,$1.25 ,$30.00 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,STARS GIFT TAPE ,24,12/1/2010 8:45,$0.65 ,$15.60 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/1/2010 8:45,$3.75 ,$45.00 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/1/2010 8:45,$2.95 ,$70.80 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,MINI PAINT SET VINTAGE ,36,12/1/2010 8:45,$0.65 ,$23.40 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,MINI JIGSAW CIRCUS PARADE ,24,12/1/2010 8:45,$0.42 ,$10.08 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,MINI JIGSAW SPACEBOY,24,12/1/2010 8:45,$0.42 ,$10.08 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,SPACEBOY LUNCH BOX ,24,12/1/2010 8:45,$1.95 ,$46.80 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,CIRCUS PARADE LUNCH BOX ,24,12/1/2010 8:45,$1.95 ,$46.80 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,LUNCH BOX I LOVE LONDON,24,12/1/2010 8:45,$1.95 ,$46.80 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/1/2010 8:45,$0.85 ,$17.00 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,ALARM CLOCK BAKELIKE GREEN,12,12/1/2010 8:45,$3.75 ,$45.00 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,ALARM CLOCK BAKELIKE RED ,24,12/1/2010 8:45,$3.75 ,$90.00 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,ALARM CLOCK BAKELIKE PINK,24,12/1/2010 8:45,$3.75 ,$90.00 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536370,SET 2 TEA TOWELS I LOVE LONDON ,24,12/1/2010 8:45,$2.95 ,$70.80 ,United States,Yes,High,Northeast,Corporate,Yes,Credit Card,Satisfied
536852,POLKADOT RAIN HAT ,24,12/3/2010 9:51,$0.42 ,$10.08 ,United States,No,High,Northeast,Consumer,No,PayPal,Satisfied
536852,VINTAGE HEADS AND TAILS CARD GAME ,12,12/3/2010 9:51,$1.25 ,$15.00 ,United States,No,High,Northeast,Consumer,No,PayPal,Satisfied
536852,MINI JIGSAW DOLLY GIRL,24,12/3/2010 9:51,$0.42 ,$10.08 ,United States,No,High,Northeast,Consumer,No,PayPal,Satisfied
536852,MINI JIGSAW SPACEBOY,24,12/3/2010 9:51,$0.42 ,$10.08 ,United States,No,High,Northeast,Consumer,No,PayPal,Satisfied
536852,PICTURE DOMINOES,12,12/3/2010 9:51,$1.45 ,$17.40 ,United States,No,High,Northeast,Consumer,No,PayPal,Satisfied
536852,CHARLOTTE BAG DOLLY GIRL DESIGN,10,12/3/2010 9:51,$0.85 ,$8.50 ,United States,No,High,Northeast,Consumer,No,PayPal,Satisfied
536974,EDWARDIAN PARASOL RED,6,12/3/2010 13:59,$5.95 ,$35.70 ,United States,No,Medium,Northeast,Consumer,No,Credit Card,Dissatisfied
536974,LUNCH BAG RED RETROSPOT,10,12/3/2010 13:59,$1.65 ,$16.50 ,United States,No,Medium,Northeast,Consumer,No,Credit Card,Dissatisfied
